popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,year,explicit
16,0.769,0.732,-7.587,0.0531,0.131,0.219,0.207,0.423,125.065,182400,edm,2020,0
44,0.587,0.75,-4.022,0.0342,0.0352,1.86e-06,0.168,0.234,128.016,187492,edm,2019,0
37,0.768,0.628,-12.994,0.0414,0.00497,0.829,0.098,0.714,119.508,373892,edm,2017,0
97,0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,edm,2019,0
0,0.535,0.615,-5.445,0.0296,0.276,0.0,0.0966,0.377,115.048,206609,edm,2018,0
50,0.694,0.972,-1.427,0.0968,0.00166,0.878,0.291,0.248,128.046,214998,edm,2019,0
22,0.644,0.45,-8.628,0.0386,0.0258,0.000312,0.312,0.277,109.986,266182,edm,2019,0
37,0.592,0.967,-3.339,0.101,0.0401,2.37e-05,0.0426,0.18,149.968,161025,edm,2019,0
24,0.786,0.775,-5.316,0.0711,0.156,0.000103,0.0962,0.659,122.002,192787,edm,2017,0
27,0.63,0.886,-7.573,0.0281,0.202,2.49e-05,0.0708,0.877,123.974,166457,edm,2019,0
54,0.796,0.926,-4.925,0.0401,0.0027,0.0,0.0599,0.458,126.03,173333,edm,2018,0
28,0.63,0.612,-6.451,0.0311,0.318,0.000247,0.321,0.388,89.01,276089,edm,2019,0
88,0.677,0.744,-6.806,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,edm,2019,0
0,0.595,0.86,-5.366,0.0398,0.000762,0.598,0.155,0.0399,127.992,273765,edm,2014,0
20,0.76,0.919,-5.619,0.0858,0.000156,0.455,0.115,0.19,125.012,226560,edm,2016,0
9,0.66,0.899,-12.517,0.0328,0.285,0.926,0.112,0.0486,129.004,478124,edm,2018,0
28,0.633,0.898,-4.86,0.0533,0.0521,3.44e-05,0.25,0.253,125.096,175591,edm,2019,0
67,0.507,0.665,-7.598,0.0474,0.0144,0.0,0.0759,0.4,126.879,213338,edm,2011,0
75,0.422,0.711,-4.809,0.0385,0.0176,0.0,0.559,0.321,128.066,244453,edm,2019,0
37,0.386,0.945,-4.412,0.151,0.00304,0.00626,0.102,0.198,129.778,177236,edm,2019,0
4,0.959,0.616,-8.142,0.281,0.111,0.0517,0.563,0.781,116.008,209773,edm,2009,0
48,0.714,0.93,-7.434,0.0519,0.00243,0.833,0.678,0.0767,126.002,407619,edm,2015,0
29,0.835,0.996,-4.453,0.147,0.000853,0.438,0.337,0.466,124.999,205080,edm,2018,0
38,0.792,0.888,-12.937,0.0478,0.558,0.86,0.0972,0.969,115.003,248104,edm,2019,0
0,0.596,0.973,-4.307,0.0851,0.00136,0.561,0.421,0.646,126.002,188239,edm,2016,0
34,0.501,0.778,-5.53,0.111,0.0678,0.0,0.0719,0.285,67.013,184300,edm,2019,0
0,0.703,0.744,-7.627,0.0305,0.0805,0.00121,0.107,0.0946,114.997,504300,edm,2020,0
52,0.661,0.943,-2.52,0.0392,0.0188,0.000231,0.272,0.71,128.16,198281,edm,2019,0
0,0.846,0.873,-7.51,0.0605,0.143,0.2,0.0542,0.294,120.981,257932,edm,2015,0
43,0.686,0.8,-3.341,0.0317,0.00514,4.39e-05,0.224,0.261,120.05,192000,edm,2019,0
53,0.63,0.833,-5.228,0.0657,0.0513,0.0,0.324,0.528,126.145,157619,edm,2019,0
47,0.516,0.882,-6.995,0.0645,0.00155,0.00892,0.157,0.531,137.966,197871,edm,2019,0
59,0.741,0.812,-5.356,0.039,0.00254,0.104,0.301,0.146,124.991,155520,edm,2019,0
38,0.668,0.875,-4.87,0.0299,0.0626,0.00226,0.219,0.0577,115.002,192000,edm,2019,0
47,0.559,0.916,-3.05,0.0626,0.0453,1.26e-05,0.225,0.195,128.012,215295,edm,2013,0
68,0.699,0.883,-3.226,0.219,0.0288,0.0,0.817,0.499,127.961,211975,edm,2017,0
7,0.42,0.834,-3.41,0.153,0.0124,0.409,0.83,0.126,192.094,163125,edm,2019,0
44,0.688,0.913,-3.726,0.0434,0.0223,1.08e-05,0.27,0.534,128.006,195463,edm,2019,0
56,0.721,0.783,-5.174,0.0595,0.0133,2.58e-06,0.155,0.291,122.997,185765,edm,2019,0
71,0.754,0.765,-5.354,0.0777,0.38,0.0,0.113,0.53,129.983,195692,edm,2019,0
57,0.568,0.968,-3.772,0.109,0.0004,0.397,0.0954,0.313,125.998,170495,edm,2019,0
0,0.671,0.871,-4.751,0.141,0.000647,0.247,0.448,0.355,128.043,284985,edm,2014,0
74,0.57,0.672,-5.89,0.0723,0.177,0.0,0.0768,0.448,120.019,208222,edm,2020,0
63,0.553,0.827,-5.381,0.0482,0.00188,0.0,0.304,0.153,132.077,167500,edm,2019,0
52,0.435,0.751,-4.999,0.0599,0.128,0.0,0.253,0.346,124.332,224762,edm,2018,0
53,0.492,0.857,-2.634,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500,edm,2011,0
1,0.565,0.916,-4.715,0.052,0.00439,0.488,0.617,0.0795,127.844,202413,edm,2013,0
0,0.668,0.928,-3.114,0.0303,0.0133,5.89e-05,0.0816,0.669,140.065,196040,edm,2015,0
68,0.594,0.722,-5.751,0.0398,0.0156,0.0,0.0667,0.407,127.877,200322,edm,2018,0
41,0.604,0.88,-4.059,0.0967,0.0135,0.467,0.0706,0.242,124.665,161932,edm,2019,0
45,0.691,0.628,-9.567,0.0661,0.0419,0.000485,0.136,0.637,126.047,196190,edm,2019,0
43,0.793,0.868,-4.001,0.173,0.0304,0.00961,0.085,0.85,124.985,202498,edm,2016,0
70,0.554,0.786,-5.837,0.132,0.122,0.0,0.468,0.823,104.957,231813,edm,2016,0
0,0.627,0.902,-1.478,0.0893,0.00103,0.00347,0.0439,0.34,127.997,390000,edm,2013,0
41,0.498,0.549,-10.394,0.0359,0.00901,4.38e-05,0.735,0.0836,115.026,178000,edm,2020,0
68,0.872,0.399,-11.145,0.245,0.353,8.32e-05,0.106,0.915,149.936,120400,edm,2018,0
73,0.485,0.461,-5.646,0.0444,0.44,0.0,0.232,0.324,87.009,200756,edm,2019,0
2,0.588,0.927,-1.78,0.064,0.00293,0.403,0.211,0.254,127.946,173087,edm,2015,0
6,0.641,0.935,-4.351,0.0838,0.00053,0.17,0.845,0.174,125.034,376320,edm,2013,0
36,0.64,0.894,-5.117,0.0982,0.206,4.21e-05,0.141,0.363,123.018,224878,edm,2017,0
62,0.776,0.715,-6.587,0.0505,0.0971,0.0131,0.247,0.502,99.951,231813,edm,2016,0
21,0.839,0.872,-5.461,0.0709,0.00048,0.591,0.0359,0.115,123.997,341364,edm,2019,0
49,0.589,0.751,-5.124,0.0975,0.014,3.09e-06,0.549,0.178,128.269,221250,edm,2019,0
20,0.613,0.658,-6.846,0.121,0.118,4.99e-05,0.128,0.152,160.086,241500,edm,2019,0
73,0.716,0.828,-4.375,0.0727,0.16,0.0,0.686,0.806,124.895,190950,edm,2019,0
55,0.808,0.94,-5.839,0.204,0.00159,0.6,0.0994,0.364,125.04,174735,edm,2019,0
39,0.769,0.977,-2.703,0.0969,0.0688,0.89,0.0778,0.207,128.005,278438,edm,2013,0
36,0.702,0.862,-3.941,0.0333,0.0546,4.47e-05,0.0995,0.711,108.006,208587,edm,2017,0
21,0.623,0.967,-6.097,0.147,0.000271,0.0655,0.265,0.206,128.053,270289,edm,2015,0
61,0.344,0.865,-5.84,0.222,0.0163,5.8e-05,0.105,0.205,128.07,202969,edm,2019,0
40,0.945,0.585,-6.667,0.192,0.293,0.00068,0.137,0.768,121.013,222187,edm,2018,0
47,0.764,0.908,-3.976,0.0735,0.00862,0.742,0.0977,0.354,124.019,194748,edm,2019,0
68,0.67,0.838,-4.031,0.0362,0.0604,0.000611,0.159,0.717,104.998,222041,edm,2016,0
37,0.353,0.897,-4.847,0.0682,0.0106,0.0243,0.261,0.126,103.443,222609,edm,2019,0
50,0.494,0.817,-7.631,0.175,0.105,0.00217,0.207,0.187,127.915,225000,edm,2020,0
38,0.877,0.776,-4.801,0.0356,0.162,0.00398,0.609,0.958,124.011,199709,edm,2018,0
8,0.474,0.882,-4.249,0.095,0.0159,0.0138,0.609,0.19,129.99,213066,edm,2016,0
0,0.654,0.83,-4.533,0.0979,0.0643,0.0,0.0756,0.354,133.897,175613,edm,2015,0
47,0.87,0.546,-10.645,0.0495,0.739,0.316,0.111,0.208,120.068,246852,edm,2019,0
17,0.673,0.79,-4.663,0.0893,0.037,9.95e-06,0.0875,0.705,102.013,199227,edm,2015,0
79,0.399,0.787,-2.88,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120,edm,2014,0
82,0.774,0.747,-3.908,0.082,0.0241,6.11e-06,0.342,0.833,119.964,168125,edm,2019,0
48,0.59,0.97,-4.135,0.287,0.071,0.00442,0.295,0.119,82.529,204182,edm,2019,0
61,0.603,0.7,-5.601,0.054,0.314,0.0,0.336,0.56,95.921,202976,edm,2017,0
8,0.669,0.891,-7.7,0.0685,0.0853,0.000257,0.0408,0.919,125.965,507323,edm,2015,0
43,0.483,0.738,-6.714,0.0393,0.0261,0.0,0.386,0.291,126.091,194762,edm,2020,0
0,0.511,0.79,-3.576,0.0408,0.0938,0.0,0.116,0.512,125.968,200973,edm,2011,0
6,0.618,0.965,-3.309,0.204,0.0508,0.01,0.303,0.173,128.028,180469,edm,2014,0
42,0.796,0.907,-1.908,0.0746,0.00329,0.142,0.226,0.0624,128.037,206323,edm,2014,0
11,0.634,0.927,-3.282,0.136,0.048,0.687,0.0864,0.35,128.016,256641,edm,2015,0
13,0.664,0.928,-6.305,0.0395,0.000297,0.671,0.696,0.106,121.005,387500,edm,2019,0
0,0.513,0.82,-4.451,0.061,0.0146,0.148,0.107,0.236,128.066,317107,edm,2014,0
26,0.859,0.761,-4.872,0.275,0.164,0.297,0.778,0.688,119.961,198613,edm,2017,0
14,0.591,0.596,-6.38,0.0278,0.141,0.0,0.11,0.333,111.009,205473,edm,2019,0
30,0.429,0.724,-4.144,0.2,0.855,0.0,0.196,0.377,82.199,150178,edm,2018,0
47,0.634,0.767,-5.319,0.0581,0.0979,0.194,0.276,0.103,126.029,189048,edm,2019,0
50,0.516,0.806,-5.133,0.0538,0.00389,0.000674,0.115,0.577,124.118,249693,edm,2013,0
22,0.447,0.37,-11.879,0.0346,0.000541,0.693,0.131,0.0381,64.053,127500,edm,2018,0
70,0.519,0.731,-3.993,0.0402,0.0571,0.0,0.381,0.296,82.967,173975,edm,2019,0
31,0.436,0.691,-5.366,0.107,0.0943,1.98e-06,0.547,0.4,138.191,233963,edm,2017,0
44,0.832,0.9,-3.55,0.155,0.0497,0.0,0.269,0.829,122.986,224634,edm,2018,0
27,0.512,0.779,-3.806,0.0559,0.0403,4.07e-06,0.576,0.264,127.979,202133,edm,2019,0
10,0.69,0.78,-4.446,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238,edm,2019,0
25,0.637,0.936,-2.901,0.0418,0.101,0.000377,0.15,0.806,116.035,178966,edm,2018,0
66,0.717,0.752,-6.933,0.065,0.251,0.000468,0.0802,0.14,123.97,281267,edm,2018,0
59,0.545,0.65,-5.853,0.0315,0.00308,7.98e-06,0.122,0.121,143.937,233773,edm,2016,0
77,0.414,0.486,-6.431,0.0311,0.0129,0.0,0.111,0.368,128.038,230762,edm,2018,0
37,0.845,0.899,-2.861,0.505,0.00684,0.0169,0.0394,0.384,130.046,208032,edm,2018,0
76,0.814,0.755,-6.164,0.0942,0.239,0.0,0.306,0.963,79.975,178500,edm,2019,0
0,0.435,0.906,-3.235,0.062,0.000455,0.000763,0.462,0.189,128.06,251716,edm,2013,0
0,0.649,0.99,-1.888,0.112,0.000744,0.328,0.0626,0.208,127.964,211875,edm,2014,0
11,0.645,0.979,-2.742,0.18,0.0126,0.206,0.383,0.25,127.918,284997,edm,2015,0
37,0.776,0.753,-5.455,0.437,0.0152,0.0105,0.0585,0.509,126.096,205065,edm,2019,0
9,0.698,0.844,-4.549,0.067,0.0577,1.69e-05,0.105,0.446,126.937,198467,edm,2011,0
7,0.749,0.942,-3.141,0.184,0.0186,0.00411,0.319,0.294,128.054,182840,edm,2014,0
53,0.773,0.859,-4.516,0.216,0.0226,0.000251,0.342,0.432,124.017,152932,edm,2019,0
36,0.473,0.792,-7.813,0.039,0.0764,0.0,0.0714,0.11,127.004,210118,edm,2019,0
22,0.441,0.936,-2.722,0.102,0.0209,0.649,0.081,0.288,124.986,165100,edm,2019,0
68,0.66,0.867,-4.285,0.116,0.11,0.0,0.0368,0.377,93.033,180480,edm,2010,0
44,0.558,0.818,-3.871,0.0565,0.203,0.0,0.221,0.452,92.005,173478,edm,2018,0
50,0.57,0.779,-7.85,0.0301,0.00525,0.891,0.367,0.206,126.015,389929,edm,2019,0
65,0.597,0.919,-2.954,0.044,0.000145,0.0,0.282,0.73,113.987,255587,edm,2012,0
2,0.5,0.82,-4.024,0.0644,0.0629,0.000372,0.598,0.294,147.946,204000,edm,2016,0
24,0.731,0.819,-4.58,0.039,0.000955,0.0603,0.16,0.19,125.961,160000,edm,2020,0
74,0.766,0.771,-9.108,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,204027,edm,2019,0
64,0.554,0.864,-4.403,0.0889,0.00166,0.0,0.119,0.305,126.975,201260,edm,2019,0
18,0.677,0.647,-4.808,0.0916,0.332,0.0,0.122,0.25,137.98,201744,edm,2017,0
35,0.739,0.635,-5.821,0.0327,0.00821,0.000167,0.113,0.268,130.032,234774,edm,2018,0
39,0.438,0.767,-4.335,0.0422,0.0173,0.0,0.116,0.244,127.96,191719,edm,2020,0
34,0.567,0.924,-3.504,0.0412,0.0178,0.00018,0.284,0.474,150.006,161407,edm,2019,0
68,0.612,0.963,-3.912,0.0531,0.00897,0.00378,0.294,0.179,138.009,183519,edm,2018,0
62,0.545,0.323,-12.006,0.0391,0.102,2.74e-06,0.107,0.193,149.941,215200,edm,2019,0
81,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947,edm,2016,0
68,0.594,0.722,-5.751,0.0398,0.0156,0.0,0.0667,0.407,127.877,200322,edm,2018,0
27,0.443,0.948,-3.29,0.108,0.0124,3.99e-06,0.131,0.341,127.928,200435,edm,2014,0
1,0.617,0.624,-6.479,0.0358,0.81,0.00916,0.0792,0.761,103.988,208846,edm,2019,0
0,0.762,0.68,-8.098,0.052,0.000186,0.882,0.078,0.0333,127.985,316875,edm,2014,0
12,0.264,0.981,-2.909,0.0526,0.000873,0.384,0.112,0.23,127.87,277509,edm,2013,0
23,0.627,0.876,-4.391,0.0324,0.0159,0.0,0.0665,0.418,111.949,261563,edm,2015,0
2,0.513,0.917,-4.048,0.0628,0.00543,0.816,0.0592,0.145,128.024,196671,edm,2015,0
42,0.703,0.973,-3.494,0.0706,0.0132,0.834,0.0272,0.639,125.969,133333,edm,2019,0
64,0.685,0.807,-5.095,0.0459,0.00231,0.00936,0.0678,0.149,137.976,189878,edm,2019,0
35,0.682,0.988,-3.656,0.08,0.0057,0.585,0.332,0.267,128.009,179648,edm,2019,0
42,0.351,0.838,-5.444,0.0861,0.0179,0.0,0.299,0.198,126.473,186094,edm,2019,0
27,0.682,0.945,-0.952,0.0397,0.0382,0.0389,0.356,0.327,127.992,204375,edm,2016,0
46,0.635,0.741,-5.326,0.311,0.244,1.47e-05,0.12,0.132,140.063,152576,edm,2019,0
45,0.861,0.917,-4.052,0.0906,0.0217,0.0588,0.208,0.715,127.953,247500,edm,2018,0
85,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560,edm,2013,0
78,0.663,0.713,-6.647,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,197933,edm,2016,0
67,0.789,0.758,-4.957,0.114,0.0665,0.0,0.0711,0.147,126.0,161453,edm,2018,0
25,0.631,0.811,-4.303,0.046,0.00231,0.426,0.326,0.188,150.019,271383,edm,2014,0
2,0.597,0.65,-7.213,0.158,0.464,0.0,0.121,0.732,78.52,218987,edm,2016,0
37,0.622,0.942,-1.945,0.0422,0.0497,0.00336,0.138,0.589,125.946,158520,edm,2017,0
47,0.505,0.784,-7.215,0.111,0.000673,0.00148,0.401,0.337,137.974,180326,edm,2019,0
48,0.606,0.952,-3.391,0.0652,0.00222,0.0683,0.293,0.29,127.965,154687,edm,2020,0
39,0.962,0.823,-4.945,0.196,0.143,0.119,0.0698,0.691,126.023,258500,edm,2019,0
